date,home_team,away_team,neutral,home_score,away_score,competition,synthetic
2022-03-25,France,Ivory Coast,0,2,1,Friendly,0
2022-03-25,Norway,Slovakia,0,2,0,Friendly,0
2022-03-25,South Africa,Guinea,1,0,0,Friendly,0
2022-03-25,Uzbekistan,Kyrgyzstan,0,3,1,Navruz Cup,0
2022-03-26,Croatia,Slovenia,1,1,1,Friendly,0
2022-03-26,England,Switzerland,0,2,1,Friendly,0
2022-03-26,Germany,Israel,0,2,0,Friendly,0
2022-03-26,Netherlands,Denmark,0,4,2,Friendly,0
2022-03-26,Qatar,Bulgaria,0,2,1,Friendly,0
2022-03-26,Ireland,Belgium,0,2,2,Friendly,0
2022-03-26,Spain,Albania,0,2,1,Friendly,0
2022-03-27,Canada,Jamaica,0,4,0,FIFA World Cup qualification,0
2022-03-27,Honduras,Mexico,0,0,1,FIFA World Cup qualification,0
2022-03-27,United States,Panama,0,5,1,FIFA World Cup qualification,0
2022-03-27,New Zealand,Tahiti,1,1,0,FIFA World Cup qualification,0
2022-03-27,Guatemala,Haiti,1,2,1,Friendly,0
2022-03-28,Cape Verde,San Marino,1,2,0,Friendly,0
2022-03-29,Algeria,Cameroon,0,1,2,FIFA World Cup qualification,0
2022-03-29,Morocco,DR Congo,0,4,1,FIFA World Cup qualification,0
2022-03-29,Nigeria,Ghana,0,1,1,FIFA World Cup qualification,0
2022-03-29,Senegal,Egypt,0,1,0,FIFA World Cup qualification,0
2022-03-29,Tunisia,Mali,0,0,0,FIFA World Cup qualification,0
2022-03-29,Iran,Lebanon,0,2,0,FIFA World Cup qualification,0
2022-03-29,Syria,Iraq,1,1,1,FIFA World Cup qualification,0
2022-03-29,United Arab Emirates,South Korea,0,1,0,FIFA World Cup qualification,0
2022-03-29,Japan,Vietnam,0,1,1,FIFA World Cup qualification,0
2022-03-29,Saudi Arabia,Australia,0,1,0,FIFA World Cup qualification,0
2022-03-29,Ecuador,Argentina,0,1,1,FIFA World Cup qualification,0
2022-03-29,Peru,Paraguay,0,2,0,FIFA World Cup qualification,0
2022-03-29,Bolivia,Brazil,0,0,4,FIFA World Cup qualification,0
2022-03-29,Venezuela,Colombia,0,0,1,FIFA World Cup qualification,0
2022-03-29,Chile,Uruguay,0,0,2,FIFA World Cup qualification,0
2022-03-29,Poland,Sweden,0,2,0,FIFA World Cup qualification,0
2022-03-29,Portugal,North Macedonia,0,2,0,FIFA World Cup qualification,0
2022-03-29,Austria,Scotland,0,2,2,Friendly,0
2022-03-29,Belgium,Burkina Faso,0,3,0,Friendly,0
2022-03-29,Bosnia and Herzegovina,Luxembourg,0,1,0,Friendly,0
2022-03-29,Croatia,Bulgaria,1,2,1,Friendly,0
2022-03-29,England,Ivory Coast,0,3,0,Friendly,0
2022-03-29,France,South Africa,0,5,0,Friendly,0
2022-03-29,Netherlands,Germany,0,1,1,Friendly,0
2022-03-29,Norway,Armenia,0,9,0,Friendly,0
2022-03-29,Qatar,Slovenia,0,0,0,Friendly,0
2022-03-29,Spain,Iceland,0,5,0,Friendly,0
2022-03-29,Switzerland,Kosovo,0,1,1,Friendly,0
2022-03-29,Turkey,Italy,0,2,3,Friendly,0
2022-03-29,Wales,Czech Republic,0,1,1,Friendly,0
2022-03-29,Uzbekistan,Uganda,0,4,2,Navruz Cup,0
2022-03-30,Mexico,El Salvador,0,2,0,FIFA World Cup qualification,0
2022-03-30,Costa Rica,United States,0,2,0,FIFA World Cup qualification,0
2022-03-30,Panama,Canada,0,1,0,FIFA World Cup qualification,0
2022-03-30,Solomon Islands,New Zealand,1,0,5,FIFA World Cup qualification,0
2022-04-27,Mexico,Guatemala,1,0,0,Friendly,0
2022-05-28,India,Jordan,1,0,2,Friendly,0
2022-05-28,Mexico,Nigeria,1,2,1,Friendly,0
2022-06-01,Italy,Argentina,1,0,3,CONMEBOL–UEFA Cup of Champions,0
2022-06-01,Scotland,Ukraine,0,1,3,FIFA World Cup qualification,0
2022-06-01,Ghana,Madagascar,0,3,0,African Cup of Nations qualification,0
2022-06-01,Australia,Jordan,1,2,1,Friendly,0
2022-06-01,United States,Morocco,0,3,0,Friendly,0
2022-06-02,Tunisia,Equatorial Guinea,0,4,0,African Cup of Nations qualification,0
2022-06-02,Panama,Costa Rica,0,2,0,CONCACAF Nations League,0
2022-06-02,Czech Republic,Switzerland,0,2,1,UEFA Nations League,0
2022-06-02,Spain,Portugal,0,1,1,UEFA Nations League,0
2022-06-02,Serbia,Norway,0,0,1,UEFA Nations League,0
2022-06-02,Slovenia,Sweden,0,0,2,UEFA Nations League,0
2022-06-02,Ecuador,Nigeria,1,1,0,Friendly,0
2022-06-02,Japan,Paraguay,0,4,1,Friendly,0
2022-06-02,South Korea,Brazil,0,1,5,Friendly,0
2022-06-02,Mexico,Uruguay,1,0,3,Friendly,0
2022-06-03,Burkina Faso,Cape Verde,1,2,0,African Cup of Nations qualification,0
2022-06-03,Ivory Coast,Zambia,0,3,1,African Cup of Nations qualification,0
2022-06-03,Curacao,Honduras,0,0,1,CONCACAF Nations League,0
2022-06-03,Croatia,Austria,0,0,3,UEFA Nations League,0
2022-06-03,France,Denmark,0,1,2,UEFA Nations League,0
2022-06-03,Belgium,Netherlands,0,1,4,UEFA Nations League,0
2022-06-04,Algeria,Uganda,0,2,0,African Cup of Nations qualification,0
2022-06-04,DR Congo,Gabon,0,0,1,African Cup of Nations qualification,0
2022-06-04,Senegal,Benin,0,3,1,African Cup of Nations qualification,0
2022-06-04,Bermuda,Haiti,0,0,0,CONCACAF Nations League,0
2022-06-04,Hungary,England,0,1,0,UEFA Nations League,0
2022-06-04,Italy,Germany,0,1,1,UEFA Nations League,0
2022-06-04,Finland,Bosnia and Herzegovina,0,1,1,UEFA Nations League,0
2022-06-04,Turkey,Faroe Islands,0,4,0,UEFA Nations League,0
2022-06-05,Egypt,Guinea,0,1,0,African Cup of Nations qualification,0
2022-06-05,Central African Republic,Ghana,1,1,1,African Cup of Nations qualification,0
2022-06-05,Botswana,Tunisia,0,0,0,African Cup of Nations qualification,0
2022-06-05,Portugal,Switzerland,0,4,0,UEFA Nations League,0
2022-06-05,Czech Republic,Spain,0,2,2,UEFA Nations League,0
2022-06-05,Sweden,Norway,0,1,2,UEFA Nations League,0
2022-06-05,Argentina,Estonia,1,5,0,Friendly,0
2022-06-05,Mexico,Ecuador,1,0,0,Friendly,0
2022-06-05,Peru,New Zealand,1,1,0,Friendly,0
2022-06-05,Saudi Arabia,Colombia,1,0,1,Friendly,0
2022-06-05,United States,Uruguay,0,0,0,Friendly,0
2022-06-06,Honduras,Curacao,0,1,2,CONCACAF Nations League,0
2022-06-06,Austria,Denmark,0,1,2,UEFA Nations League,0
2022-06-06,Croatia,France,0,1,1,UEFA Nations League,0
2022-06-06,South Korea,Chile,0,2,0,Friendly,0
2022-06-06,Japan,Brazil,0,0,1,Friendly,0
2022-06-07,Cape Verde,Togo,1,2,0,African Cup of Nations qualification,0
2022-06-07,Senegal,Rwanda,0,1,0,African Cup of Nations qualification,0
2022-06-07,Haiti,Montserrat,1,3,2,CONCACAF Nations League,0
2022-06-07,Germany,England,0,1,1,UEFA Nations League,0
2022-06-07,Bosnia and Herzegovina,Romania,0,1,0,UEFA Nations League,0
2022-06-07,Lithuania,Turkey,0,0,6,UEFA Nations League,0
2022-06-07,United Arab Emirates,Australia,1,1,2,FIFA World Cup qualification,0
2022-06-08,Jordan,Nepal,1,2,0,AFC Asian Cup qualification,0
2022-06-08,Uzbekistan,Sri Lanka,0,3,0,AFC Asian Cup qualification,0
2022-06-08,Tanzania,Algeria,0,0,2,African Cup of Nations qualification,0
2022-06-08,Sudan,DR Congo,0,2,1,African Cup of Nations qualification,0
2022-06-08,Wales,Netherlands,0,1,2,UEFA Nations League,0
2022-06-08,Belgium,Poland,0,6,1,UEFA Nations League,0
2022-06-08,Scotland,Armenia,0,2,0,UEFA Nations League,0
2022-06-09,Ethiopia,Egypt,1,2,0,African Cup of Nations qualification,0
2022-06-09,Lesotho,Ivory Coast,1,0,0,African Cup of Nations qualification,0
2022-06-09,Morocco,South Africa,0,2,1,African Cup of Nations qualification,0
2022-06-09,Panama,Martinique,0,5,0,CONCACAF Nations League,0
2022-06-09,Canada,Curacao,0,4,0,CONCACAF Nations League,0
2022-06-09,Portugal,Czech Republic,0,2,0,UEFA Nations League,0
2022-06-09,Switzerland,Spain,0,0,1,UEFA Nations League,0
2022-06-09,Norway,Slovenia,0,0,0,UEFA Nations League,0
2022-06-09,Sweden,Serbia,0,0,1,UEFA Nations League,0
2022-06-09,New Zealand,Oman,1,0,0,Friendly,0
2022-06-09,Saudi Arabia,Venezuela,1,0,1,Friendly,0
2022-06-10,United States,Grenada,0,5,0,CONCACAF Nations League,0
2022-06-10,Austria,France,0,1,1,UEFA Nations League,0
2022-06-10,Denmark,Croatia,0,0,1,UEFA Nations League,0
2022-06-10,South Korea,Paraguay,0,2,2,Friendly,0
2022-06-10,Chile,Tunisia,1,0,2,Kirin Cup,0
2022-06-10,Japan,Ghana,0,4,1,Kirin Cup,0
2022-06-11,Indonesia,Jordan,1,0,1,AFC Asian Cup qualification,0
2022-06-11,Uzbekistan,Maldives,0,4,0,AFC Asian Cup qualification,0
2022-06-11,Mexico,Suriname,0,3,0,CONCACAF Nations League,0
2022-06-11,Guyana,Haiti,0,2,6,CONCACAF Nations League,0
2022-06-11,England,Italy,0,0,0,UEFA Nations League,0
2022-06-11,Hungary,Germany,0,1,1,UEFA Nations League,0
2022-06-11,Wales,Belgium,0,1,1,UEFA Nations League,0
2022-06-11,Netherlands,Poland,0,2,2,UEFA Nations League,0
2022-06-11,Ireland,Scotland,0,3,0,UEFA Nations League,0
2022-06-11,Montenegro,Bosnia and Herzegovina,0,1,1,UEFA Nations League,0
2022-06-11,Luxembourg,Turkey,0,0,2,UEFA Nations League,0
2022-06-11,Ecuador,Cape Verde,1,1,0,Friendly,0
2022-06-11,Uruguay,Panama,0,5,0,Friendly,0
2022-06-12,Martinique,Panama,0,0,0,CONCACAF Nations League,0
2022-06-12,Spain,Czech Republic,0,2,0,UEFA Nations League,0
2022-06-12,Switzerland,Portugal,0,1,0,UEFA Nations League,0
2022-06-12,Norway,Sweden,0,3,2,UEFA Nations League,0
2022-06-12,Iran,Algeria,1,1,2,Friendly,0
2022-06-13,Australia,Peru,1,0,0,FIFA World Cup qualification,0
2022-06-13,Morocco,Liberia,0,2,0,African Cup of Nations qualification,0
2022-06-13,Honduras,Canada,0,2,1,CONCACAF Nations League,0
2022-06-13,Denmark,Austria,0,2,0,UEFA Nations League,0
2022-06-13,France,Croatia,0,0,1,UEFA Nations League,0
2022-06-14,Costa Rica,New Zealand,1,1,0,FIFA World Cup qualification,0
2022-06-14,Kuwait,Jordan,0,0,3,AFC Asian Cup qualification,0
2022-06-14,Uzbekistan,Thailand,0,2,0,AFC Asian Cup qualification,0
2022-06-14,Jamaica,Mexico,0,1,1,CONCACAF Nations League,0
2022-06-14,El Salvador,United States,0,1,1,CONCACAF Nations League,0
2022-06-14,Haiti,Guyana,1,6,0,CONCACAF Nations League,0
2022-06-14,England,Hungary,0,0,4,UEFA Nations League,0
2022-06-14,Germany,Italy,0,5,2,UEFA Nations League,0
2022-06-14,Netherlands,Wales,0,3,2,UEFA Nations League,0
2022-06-14,Poland,Belgium,0,0,1,UEFA Nations League,0
2022-06-14,Armenia,Scotland,0,1,4,UEFA Nations League,0
2022-06-14,Bosnia and Herzegovina,Finland,0,3,2,UEFA Nations League,0
2022-06-14,Turkey,Lithuania,0,2,0,UEFA Nations League,0
2022-06-14,Chile,Ghana,1,0,0,Kirin Cup,0
2022-06-14,Japan,Tunisia,0,0,3,Kirin Cup,0
2022-06-14,South Korea,Egypt,0,4,1,Friendly,0
2022-07-13,South Africa,Mozambique,0,0,0,COSAFA Cup,0
2022-07-13,Senegal,Eswatini,1,1,1,COSAFA Cup,0
2022-07-15,South Africa,Madagascar,0,2,1,COSAFA Cup,0
2022-07-15,Zambia,Senegal,1,4,3,COSAFA Cup,0
2022-07-17,South Africa,Botswana,0,2,1,COSAFA Cup,0
2022-07-17,Mozambique,Senegal,1,1,1,COSAFA Cup,0
2022-07-19,Japan,Hong Kong,0,6,0,EAFF Championship,0
2022-07-20,China,South Korea,1,0,3,EAFF Championship,0
2022-07-24,South Korea,Hong Kong,1,3,0,EAFF Championship,0
2022-07-24,Japan,China,0,0,0,EAFF Championship,0
2022-07-27,Japan,South Korea,0,3,0,EAFF Championship,0
2022-08-31,Mexico,Paraguay,1,0,1,Friendly,0
2022-09-21,Scotland,Ukraine,0,3,0,UEFA Nations League,0
2022-09-22,Australia,New Zealand,0,1,0,Friendly,0
2022-09-22,Comoros,Tunisia,1,0,1,Friendly,0
2022-09-22,Croatia,Denmark,0,2,1,UEFA Nations League,0
2022-09-22,France,Austria,0,2,0,UEFA Nations League,0
2022-09-22,Belgium,Wales,0,2,1,UEFA Nations League,0
2022-09-22,Poland,Netherlands,0,0,2,UEFA Nations League,0
2022-09-22,Turkey,Luxembourg,0,3,3,UEFA Nations League,0
2022-09-23,Japan,United States,1,2,0,Kirin Challenge Cup,0
2022-09-23,Algeria,Guinea,0,1,0,Friendly,0
2022-09-23,Argentina,Honduras,1,3,0,Friendly,0
2022-09-23,Bahrain,Cape Verde,0,1,2,Friendly,0
2022-09-23,Brazil,Ghana,1,3,0,Friendly,0
2022-09-23,Cameroon,Uzbekistan,1,0,2,Friendly,0
2022-09-23,Canada,Qatar,1,2,0,Friendly,0
2022-09-23,DR Congo,Burkina Faso,1,0,1,Friendly,0
2022-09-23,Egypt,Niger,0,3,0,Friendly,0
2022-09-23,Iran,Uruguay,1,1,0,Friendly,0
2022-09-23,Iraq,Oman,1,1,1,Jordan International Tournament,0
2022-09-23,Jordan,Syria,0,2,0,Jordan International Tournament,0
2022-09-23,South Korea,Costa Rica,0,2,2,Friendly,0
2022-09-23,Morocco,Chile,1,2,0,Friendly,0
2022-09-23,Paraguay,United Arab Emirates,1,1,0,Friendly,0
2022-09-23,Saudi Arabia,Ecuador,1,0,0,Friendly,0
2022-09-23,Germany,Hungary,0,0,1,UEFA Nations League,0
2022-09-23,Italy,England,0,1,0,UEFA Nations League,0
2022-09-23,Bosnia and Herzegovina,Montenegro,0,1,0,UEFA Nations League,0
2022-09-24,Bolivia,Senegal,1,0,2,Friendly,0
2022-09-24,Colombia,Guatemala,1,4,1,Friendly,0
2022-09-24,Indonesia,Curacao,0,3,2,Friendly,0
2022-09-24,Ivory Coast,Togo,1,2,1,Friendly,0
2022-09-24,Mexico,Peru,1,1,0,Friendly,0
2022-09-24,South Africa,Sierra Leone,0,4,0,Friendly,0
2022-09-24,Czech Republic,Portugal,0,0,4,UEFA Nations League,0
2022-09-24,Spain,Switzerland,0,1,2,UEFA Nations League,0
2022-09-24,Scotland,Ireland,0,2,1,UEFA Nations League,0
2022-09-24,Slovenia,Norway,0,2,1,UEFA Nations League,0
2022-09-24,Serbia,Sweden,0,4,1,UEFA Nations League,0
2022-09-25,New Zealand,Australia,0,0,2,Friendly,0
2022-09-25,Austria,Croatia,0,1,3,UEFA Nations League,0
2022-09-25,Denmark,France,0,2,0,UEFA Nations League,0
2022-09-25,Netherlands,Belgium,0,1,0,UEFA Nations League,0
2022-09-25,Faroe Islands,Turkey,0,2,1,UEFA Nations League,0
2022-09-26,Iraq,Syria,1,1,0,Jordan International Tournament,0
2022-09-26,Jordan,Oman,0,1,0,Jordan International Tournament,0
2022-09-26,England,Germany,0,3,3,UEFA Nations League,0
2022-09-26,Romania,Bosnia and Herzegovina,0,4,1,UEFA Nations League,0
2022-09-27,Algeria,Nigeria,0,2,1,Friendly,0
2022-09-27,Argentina,Jamaica,1,3,0,Friendly,0
2022-09-27,Bahrain,Panama,0,0,2,Friendly,0
2022-09-27,Brazil,Tunisia,1,5,1,Friendly,0
2022-09-27,Canada,Uruguay,1,0,2,Friendly,0
2022-09-27,DR Congo,Sierra Leone,1,3,0,Friendly,0
2022-09-27,Costa Rica,Uzbekistan,1,2,1,Friendly,0
2022-09-27,Ecuador,Japan,1,0,0,Kirin Challenge Cup,0
2022-09-27,Egypt,Liberia,0,3,0,Friendly,0
2022-09-27,Ghana,Nicaragua,1,1,0,Friendly,0
2022-09-27,Indonesia,Curacao,0,2,1,Friendly,0
2022-09-27,Iran,Senegal,1,1,1,Friendly,0
2022-09-27,Ivory Coast,Guinea,1,3,1,Friendly,0
2022-09-27,South Korea,Cameroon,0,1,0,Friendly,0
2022-09-27,Mexico,Colombia,1,2,3,Friendly,0
2022-09-27,Paraguay,Morocco,1,0,0,Friendly,0
2022-09-27,Qatar,Chile,1,2,2,Friendly,0
2022-09-27,Saudi Arabia,United States,1,0,0,Friendly,0
2022-09-27,South Africa,Botswana,0,1,0,Friendly,0
2022-09-27,Portugal,Spain,0,0,1,UEFA Nations League,0
2022-09-27,Switzerland,Czech Republic,0,2,1,UEFA Nations League,0
2022-09-27,Ukraine,Scotland,1,0,0,UEFA Nations League,0
2022-09-27,Norway,Serbia,0,0,2,UEFA Nations League,0
2022-09-27,Sweden,Slovenia,0,1,1,UEFA Nations League,0
2022-10-22,Saudi Arabia,North Macedonia,1,1,0,Friendly,0
2022-10-23,Qatar,Guatemala,1,2,0,Friendly,0
2022-10-26,Saudi Arabia,Albania,1,1,1,Friendly,0
2022-10-27,Qatar,Honduras,1,1,0,Friendly,0
2022-10-30,Saudi Arabia,Honduras,1,0,0,Friendly,0
2022-11-06,Saudi Arabia,Iceland,1,1,0,Friendly,0
2022-11-07,Qatar,Panama,1,2,1,Friendly,0
2022-11-09,Albania,Qatar,1,0,1,Friendly,0
2022-11-09,Mexico,Iraq,1,4,0,Friendly,0
2022-11-10,Iran,Nicaragua,0,1,0,Friendly,0
2022-11-10,Saudi Arabia,Panama,1,1,1,Friendly,0
2022-11-11,Bahrain,Canada,0,2,2,Friendly,0
2022-11-11,South Korea,Iceland,0,1,0,Friendly,0
2022-11-12,Iraq,Ecuador,1,0,0,Friendly,0
2022-11-13,Syria,Algeria,1,0,1,Friendly,0
2022-11-15,Venezuela,Panama,1,2,2,Friendly,0
2022-11-16,Algeria,Mali,0,1,1,Friendly,0
2022-11-16,Andorra,Austria,1,0,1,Friendly,0
2022-11-16,Czech Republic,Faroe Islands,0,5,0,Friendly,0
2022-11-16,Iran,Tunisia,1,0,2,Friendly,0
2022-11-16,Ivory Coast,Burundi,1,4,0,Friendly,0
2022-11-16,Mexico,Sweden,1,1,2,Friendly,0
2022-11-16,Oman,Germany,0,0,1,Friendly,0
2022-11-16,Peru,Paraguay,0,1,0,Friendly,0
2022-11-16,Saudi Arabia,Croatia,0,0,1,Friendly,0
2022-11-16,Turkey,Scotland,0,2,1,Friendly,0
2022-11-16,United Arab Emirates,Argentina,0,0,5,Friendly,0
2022-11-16,Uzbekistan,Kazakhstan,0,2,0,Friendly,0
2022-11-17,Japan,Canada,1,1,2,Friendly,0
2022-11-17,Jordan,Spain,0,1,3,Friendly,0
2022-11-17,Morocco,Georgia,1,3,0,Friendly,0
2022-11-17,Portugal,Nigeria,0,4,0,Friendly,0
2022-11-17,Ireland,Norway,0,1,2,Friendly,0
2022-11-17,South Africa,Mozambique,0,2,1,Friendly,0
2022-11-17,Switzerland,Ghana,1,0,2,Friendly,0
2022-11-18,Cameroon,Panama,1,1,1,Friendly,0
2022-11-18,Egypt,Belgium,1,2,1,Friendly,0
2022-11-19,Colombia,Paraguay,1,2,0,Friendly,0
2022-11-19,Ivory Coast,Burkina Faso,1,1,2,Friendly,0
2022-11-19,Sweden,Algeria,0,2,0,Friendly,0
2022-11-19,Turkey,Czech Republic,0,2,1,Friendly,0
2022-11-20,Austria,Italy,0,2,0,Friendly,0
2022-11-20,Norway,Finland,0,1,1,Friendly,0
2022-11-20,South Africa,Angola,0,1,1,Friendly,0
2022-11-20,Uzbekistan,Russia,0,0,0,Friendly,0
2022-11-20,Qatar,Ecuador,0,0,2,FIFA World Cup,0
2022-11-21,Senegal,Netherlands,1,0,2,FIFA World Cup,0
2022-11-21,England,Iran,1,6,2,FIFA World Cup,0
2022-11-21,United States,Wales,1,1,1,FIFA World Cup,0
2022-11-22,Argentina,Saudi Arabia,1,1,2,FIFA World Cup,0
2022-11-22,Mexico,Poland,1,0,0,FIFA World Cup,0
2022-11-22,Denmark,Tunisia,1,0,0,FIFA World Cup,0
2022-11-22,France,Australia,1,4,1,FIFA World Cup,0
2022-11-23,Germany,Japan,1,1,2,FIFA World Cup,0
2022-11-23,Spain,Costa Rica,1,7,0,FIFA World Cup,0
2022-11-23,Morocco,Croatia,1,0,0,FIFA World Cup,0
2022-11-23,Belgium,Canada,1,1,0,FIFA World Cup,0
2022-11-24,Switzerland,Cameroon,1,1,0,FIFA World Cup,0
